,Довжина,Індекс
0,2,0.03385388813744475
1,3,0.03615187096897406
2,4,0.03374293361807624
3,5,0.03952084806368013
4,6,0.036125055880893396
5,7,0.033821792020889335
6,8,0.03374094496535137
7,9,0.03608280586815858
8,10,0.03952252784858045
9,11,0.033676545852495285
10,12,0.03604485666071514
11,13,0.03357519915761071
12,14,0.03392455396612264
13,15,0.05605177331202787
14,16,0.03368328831902167
15,17,0.03368867351961501
16,18,0.03608986458957075
17,19,0.0335364228338296
18,20,0.03938936497846169
19,21,0.03619388229715766
20,22,0.03359466427790614
21,23,0.03408654267171319
22,24,0.03608759248034323
23,25,0.03901716563504428
24,26,0.03346893581656819
25,27,0.03564037880738555
26,28,0.033727646862663656
27,29,0.03404426010285956
28,30,0.05600313156972977
