whitespaces,,,no whitespaces,,,w o bez peretuny,,,w o z penetunom,,,w bez peretuny,,,w z peretunom,
 ,0.1644411747153852 ,,о,0.11398527545299994 ,,то,0.016775867479077 ,,то,0.016575672387812424 ,,о ,0.02229179099367033 ,,о ,0.022542238570883513 
о,0.09524140285725187 ,,е,0.08324708108335949 ,,ст,0.012741135532336398 ,,ст,0.012724758600744892 ,,и ,0.01776612500856022 ,,и ,0.017721122709529726 
е,0.06955783327838493 ,,а,0.07855433423410343 ,,но,0.01184895162536706 ,,но,0.012026934150428003 ,,е ,0.017102830253284677 ,,е ,0.017039240048132894 
а,0.06563676723366246 ,,н,0.06520670098023146 ,,на,0.011394663756726505 ,,на,0.011212025060796198 ,,а ,0.016821076728919845 ,,а ,0.01682890321570776 
н,0.05448403447172733 ,,т,0.06299614557818668 ,,не,0.011125369401604525 ,,он,0.011094940421481285 ,, с,0.016091256835947053 ,, п,0.016125497715644168 
т,0.052636985396768254 ,,и,0.06190491801743154 ,,он,0.011120686021515449 ,,по,0.011050448258541618 ,, п,0.016069733997280296 ,, с,0.01567645303618772 
и,0.051725200577985485 ,,л,0.05400756834222395 ,,ал,0.011045751940090201 ,,не,0.011005956095601949 ,, н,0.015596231546611621 ,, н,0.01563634229139967 
л,0.045126500360507193 ,,с,0.05026203511598391 ,,по,0.010945059268175027 ,,ал,0.01096497647184173 ,, в,0.014263772170969604 ,, в,0.014256923995030181 
с,0.041996887017925574 ,,р,0.044568215772687464 ,,ко,0.010429887458376459 ,,ко,0.010219147319405725 ,,то,0.01360439065908802 ,,то,0.013444925990784312 
р,0.03723936601605798 ,,в,0.04124769928953124 ,,ло,0.009814022976662716 ,,от,0.009700462367240655 ,, о,0.011841474510110842 ,, о,0.011725055519140652 
в,0.03446487916405377 ,,к,0.03743191536195503 ,,от,0.009591562422431517 ,,ло,0.009581036035139443 ,,ь ,0.010687067708893824 ,,ь ,0.010590214934893413 
к,0.03127656722798827 ,,д,0.03412779070911058 ,,го,0.009123224413523728 ,,ос,0.009144310330494811 ,,ст,0.01055401743349932 ,,ст,0.01038868290010468 
