Символ(и),Кількість,Частота
ил,3412,0.005060692715687554
ль,2851,0.00422861516190657
ья,536,0.0007949974488887834
я ,5736,0.008507659266466534
 и,6053,0.008977834996499639
ьф,33,4.894573845770495e-05
ф ,53,7.860982237146553e-05
 е,1532,0.00227226882779406
ев,1898,0.0028151215634158785
вг,23,3.411369650082466e-05
ге,223,0.0003307545356384304
ен,4784,0.00709564887217153
ни,4645,0.006889483488970893
ий,1036,0.0015365995467327977
й ,5515,0.008179871139219478
 п,10703,0.01587473450644897
пе,1691,0.0025080982949084564
ет,3180,0.004716589342287932
тр,2348,0.0034825634514754917
ро,5433,0.00805824839517306
ов,5531,0.008203602406350487
вд,258,0.0003826666824875114
дв,862,0.0012785220166830807
ве,3790,0.005621343901657629
на,6137,0.009102424148937433
ад,1478,0.0021921758012269066
дц,275,0.0004078811538142079
ца,598,0.0008869561090214412
ат,3829,0.005679188865289462
ть,2894,0.004292392942321155
ь ,5363,0.007954424101474898
 с,9969,0.01478606262681396
ст,7925,0.011754393250827628
ту,1442,0.0021387804501821375
ул,1428,0.002118015591442505
ье,474,0.0007030387887561256
вп,106,0.00015721964474293105
по,6471,0.009597814350297234
ос,4517,0.006699633351922826
св,831,0.0012325426866167518
вя,165,0.00024472869228852473
ящ,152,0.00022544703774458037
ща,292,0.0004330956251409044
ае,639,0.0009477674810446504
тс,626,0.000928485826500706
ся,2379,0.0035285427815418204
 в,9627,0.014278806791888653
ва,4360,0.006466770293199806
ал,5972,0.008857695456648908
ле,3158,0.0046839588499827944
нт,671,0.0009952300153066673
ти,2555,0.0037895867199829133
ин,2753,0.004083261150729143
ну,1792,0.0026579019186729474
у ,3901,0.005785979567379
ви,2454,0.0036397830962184227
ич,1757,0.0026059897718238665
чу,350,0.00051912146849081
 к,5934,0.008801333697212763
ка,4470,0.006629922754725489
та,4451,0.006601741875007416
ву,505,0.0007490181188224545
ег,1622,0.0024057572054059827
нд,443,0.0006570594586897967
да,2912,0.00431909061784354
а ,10708,0.015882150527427412
 о,6210,0.009210698055222658
о ,10671,0.015827271972186956
ел,4172,0.0061879279044104556
ли,5324,0.007896579137843066
ик,1973,0.002926361878092481
ко,5651,0.00838158690983305
ом,3737,0.005542734079286163
м ,4633,0.006871685038622637
мб,199,0.0002951576349419177
би,637,0.0009448010726532743
то,6461,0.009582982308340354
ор,4540,0.0067337470484236505
ре,3906,0.005793395588357441
еи,133,0.00019726615802650782
ип,790,0.0011717313145935427
оч,1216,0.001803576301956643
че,2208,0.0032749148640791675
ем,2152,0.003191855429120638
му,1202,0.0017828114432170106
в ,4435,0.006578010607876408
 ш,758,0.0011242687803315258
ша,745,0.0011049871257875815
ан,2942,0.0043635867437141805
нх,12,1.7798450348256345e-05
ха,503,0.0007460517104310785
е ,10012,0.014849840407228544
 н,8331,0.012356574154276968
го,4616,0.006846470567295941
не,4919,0.007295881438589414
сл,1516,0.0022485375606630517
лу,947,0.0014045943733165633
уч,578,0.0008572920251076806
чи,1116,0.00165525588238784
ло,3857,0.005720718582768727
сь,1965,0.0029144962445269767
ьп,27,4.004651328357678e-05
пр,3947,0.00585420696038065
ои,499,0.0007401188936483263
ис,2341,0.0034721810221056753
сх,127,0.00018836693285237966
хо,1500,0.002224806293532043
ож,1210,0.0017946770767825148
жд,513,0.0007608837523879588
де,3304,0.004900506662553247
ие,1314,0.0019489303131340699
 л,1594,0.0023642274879267177
ды,418,0.000619979353797596
ыв,605,0.0008973385383912574
ри,3438,0.005099256024775443
ии,548,0.0008127958992370398
и ,10757,0.015954827533016126
со,1866,0.0027676590291538616
оз,894,0.0013259845509450978
зд,574,0.0008513592083249285
ия,758,0.0011242687803315258
 д,4512,0.006692217330944386
оп,1045,0.00154994838449399
пи,1027,0.0015232507089716055
са,1251,0.001855488448805724
нн,1829,0.0027127804739134048
но,6369,0.009446527522337055
ой,2548,0.0037792042906130974
 м,4416,0.006549829728158335
ме,2324,0.003446966550778979
уа,68,0.00010085788530678596
ар,2479,0.003676863201110623
ам,2207,0.0032734316598834793
ми,2149,0.0031874058165335738
мн,751,0.0011138863509617097
ог,2687,0.003985369673813733
ок,1415,0.0020987339368985607
