Символ(и),Кількість,Частота
ур,335,0.0009937468111109794
ла,1786,0.0052980053869976385
х ,1093,0.003242284371774031
пь,25,7.416020978440143e-05
ха,241,0.0007149044223216299
вы,1063,0.003153292120032749
пу,269,0.0007979638572801595
з ,472,0.0014001447607294992
кр,655,0.0019429974963513176
уп,242,0.0007178708307130059
йш,37,0.00010975711048091413
зд,296,0.000878056883847313
ьс,233,0.0006911731551906214
тв,968,0.0028714833228520235
зе,196,0.0005814160447097073
мл,59,0.0001750180950911874
сл,728,0.00215954530892177
ви,1237,0.003669447180132183
сю,73,0.0002165478125704522
ма,1202,0.0035656228864340213
ид,497,0.0014743049705139006
ею,35,0.00010382429369816201
оа,12,3.559690069651269e-05
вт,141,0.0004182635831840241
фу,34,0.00010085788530678596
дл,182,0.0005398863272304425
ну,893,0.0026490026934988193
еж,305,0.0009047545593696975
ач,280,0.0008305943495852961
иш,158,0.0004686925258374171
ут,442,0.0013111525089882173
ые,471,0.001397178352338123
ук,322,0.0009551835020230905
ас,1312,0.0038919278094853875
 э,590,0.001750180950911874
ют,119,0.00035300259857375083
ян,279,0.00082762794119392
ны,1444,0.004283493717147027
бл,332,0.0009848475859368512
ку,623,0.0018480724278272839
ын,88,0.00026104393844109304
 т,2042,0.006057405935189909
бо,697,0.002067586648789112
сн,354,0.0010501085705471244
ед,977,0.002898180998374408
бе,761,0.00225743678583718
ди,813,0.002411690022188735
ар,1246,0.0036961448556545678
хв,70,0.00020764858739632402
ы ,1544,0.0045801345562846325
ба,357,0.0010590077957212526
ак,1171,0.0034736642263013635
ющ,159,0.00047165893422879314
аи,72,0.00021358140417907615
вр,200,0.0005932816782752115
об,1108,0.0032867804976446716
зо,259,0.0007682997733663989
се,987,0.0029278450822881686
 д,2211,0.006558728953332463
рж,93,0.00027587598039797333
яб,40,0.0001186563356550423
ря,297,0.0008810232922386891
аю,219,0.0006496434377113566
дц,138,0.00040936435800989593
ье,238,0.0007060051971475017
че,1103,0.0032719484556877915
ц ,177,0.0005250542852735622
ая,674,0.001999359255787463
 ч,1164,0.0034528993675617308
ее,570,0.0016908527830843529
дс,160,0.0004746253426201692
вл,291,0.0008632248418904327
яю,34,0.00010085788530678596
тк,187,0.0005547183691873228
оп,510,0.0015128682796017893
шу,102,0.00030257365592035784
рт,248,0.0007356692810612623
ап,614,0.0018213747523048993
ща,149,0.00044199485031503255
дя,129,0.0003826666824875114
еб,342,0.0010145116698506117
ше,673,0.0019963928473960865
юл,8,2.373126713100846e-05
уб,353,0.0010471421621557483
лл,95,0.00028180879718072544
юс,47,0.0001394211943946747
ир,412,0.0012221602572469357
яч,57,0.00016908527830843527
хо,742,0.002201075026401035
 л,763,0.0022633696026199317
яс,204,0.0006051473118407157
ьк,263,0.0007801654069319031
ци,251,0.0007445685062353904
лс,604,0.0017917106683911388
уж,439,0.0013022532838140892
вс,656,0.0019459639047426937
як,62,0.00018391732026531556
ча,764,0.002266336011011308
лг,61,0.0001809509118739395
рш,63,0.00018688372865669162
ия,396,0.0011746977229849188
ив,772,0.0022900672781423163
рс,224,0.0006644754796682369
р ,555,0.001646356657213712
аг,266,0.0007890646321060313
гр,462,0.0013704806768157385
аф,107,0.00031740569787723814
рр,38,0.00011272351887229018
ек,474,0.0014060775775122513
фи,126,0.00037376745731338324
тп,36,0.00010679070208953808
бн,94,0.0002788423887893494
це,316,0.0009373850516748342
шн,125,0.0003708010489220072
хн,81,0.00024027907970146066
хт,18,5.339535104476904e-05
 х,401,0.001189529764941799
лю,295,0.000875090475455937
ыл,655,0.0019429974963513176
уе,87,0.000258077530049717
зн,474,0.0014060775775122513
еш,212,0.0006288785789717242
юд,91,0.0002699431636152212
 я,384,0.001139100822288406
нв,12,3.559690069651269e-05
гд,233,0.0006911731551906214
га,531,0.0015751628558206866
ещ,227,0.000673374704842365
нь,334,0.0009907804027196032
уч,301,0.0008928889258041933
оя,189,0.0005606511859700749
ня,363,0.001076806246069509
юж,15,4.4496125870640864e-05
кл,304,0.0009017881509783215
сч,104,0.00030850647270311
пы,105,0.00031147288109448603
яд,145,0.00043012921674952833
му,590,0.001750180950911874
ый,684,0.0020290233397012233
па,720,0.0021358140417907616
чн,265,0.0007860982237146552
ям,149,0.00044199485031503255
эк,42,0.0001245891524377944
ум,314,0.0009314522348920821
ау,71,0.00021061499578770007
д ,372,0.0011035039215918933
щь,16,4.746253426201692e-05
мы,271,0.0008038966740629116
юц,16,4.746253426201692e-05
ую,369,0.0010946046964177651
кс,90,0.0002669767552238452
ги,251,0.0007445685062353904
ию,129,0.0003826666824875114
ч ,342,0.0010145116698506117
рб,47,0.0001394211943946747
жд,263,0.0007801654069319031
вя,86,0.00025511112165834093
зи,205,0.0006081137202320918
мс,62,0.00018391732026531556
рг,141,0.0004182635831840241
зв,291,0.0008632248418904327
чу,180,0.0005339535104476904
рь,183,0.0005428527356218185
яи,24,7.119380139302538e-05
юг,10,2.9664083913760576e-05
 ю,22,6.526098461027326e-05
иг,226,0.000670408296450989
вв,17,5.042894265339298e-05
цк,85,0.0002521447132669649
кп,8,2.373126713100846e-05
б ,80,0.0002373126713100846
яв,109,0.00032333851465999024
жи,518,0.0015365995467327977
фо,145,0.00043012921674952833
ыш,153,0.0004538604838805368
эт,515,0.0015277003215586696
зг,61,0.0001809509118739395
оо,102,0.00030257365592035784
ея,66,0.0001957829538308198
тч,37,0.00010975711048091413
бь,156,0.00046275970905466495
км,7,2.0764858739632402e-05
еи,56,0.00016611886991705922
ош,321,0.0009522170936317145
кц,83,0.0002462118964842128
лн,136,0.0004034315412271438
зб,43,0.00012755556082917047
ср,83,0.0002462118964842128
сд,52,0.000154253236351555
дд,12,3.559690069651269e-05
жк,72,0.00021358140417907615
вм,33,9.78914769154099e-05
зк,41,0.00012162274404641836
шк,145,0.00043012921674952833
ж ,71,0.00021061499578770007
тщ,14,4.1529717479264804e-05
пл,286,0.0008483927999335525
юб,97,0.0002877416139634776
юч,43,0.00012755556082917047
ды,203,0.0006021809034493397
ец,171,0.0005072558349253058
чь,61,0.0001809509118739395
мд,4,1.186563356550423e-05
дь,141,0.0004182635831840241
кн,144,0.0004271628083581523
ыт,176,0.0005220878768821861
вк,125,0.0003708010489220072
жа,476,0.0014120103942950033
ял,304,0.0009017881509783215
зр,79,0.00023434626291870856
ое,519,0.0015395659551241739
мя,141,0.0004182635831840241
тц,40,0.0001186563356550423
бщ,74,0.00021951422096182826
ох,232,0.0006882067467992454
сы,141,0.0004182635831840241
цо,68,0.0002017157706135719
юн,35,0.00010382429369816201
уз,140,0.00041529717479264804
ях,58,0.00017205168669981135
рк,143,0.0004241963999667762
ыг,49,0.00014535401117742681
уш,228,0.0006763411132337411
нс,262,0.0007771989985405271
ущ,76,0.00022544703774458037
гл,362,0.0010738398376781328
ып,73,0.0002165478125704522
чк,247,0.0007327028726698862
иж,108,0.0003203721062686142
еп,266,0.0007890646321060313
пю,2,5.932816782752115e-06
зж,29,8.602584334990567e-05
чл,25,7.416020978440143e-05
иа,106,0.0003144392894858621
шл,184,0.0005458191440131946
вз,108,0.0003203721062686142
вп,59,0.0001750180950911874
дх,20,5.932816782752115e-05
нц,208,0.00061701294540622
ху,82,0.00024324548809283672
юр,29,8.602584334990567e-05
ыя,6,1.7798450348256345e-05
аж,415,0.0012310594824210639
юю,12,3.559690069651269e-05
хи,98,0.00029070802235485363
иц,350,0.00103824293698162
аш,329,0.0009759483607627229
кз,28,8.305943495852961e-05
яр,58,0.00017205168669981135
нп,2,5.932816782752115e-06
зм,111,0.0003292713314427424
су,227,0.000673374704842365
ащ,82,0.00024324548809283672
мп,78,0.00023137985452733248
чр,18,5.339535104476904e-05
тя,190,0.0005636175943614509
гк,49,0.00014535401117742681
дт,33,9.78914769154099e-05
йо,14,4.1529717479264804e-05
уя,34,0.00010085788530678596
лк,195,0.0005784496363183312
дг,5,1.4832041956880288e-05
дп,58,0.00017205168669981135
гч,5,1.4832041956880288e-05
зл,72,0.00021358140417907615
ах,426,0.0012636899747262005
фр,31,9.195866013265778e-05
гг,1,2.9664083913760574e-06
вц,27,8.009302656715355e-05
эл,54,0.0001601860531343071
юз,12,3.559690069651269e-05
зь,39,0.00011568992726366624
кж,6,1.7798450348256345e-05
лж,77,0.00022841344613595642
уц,4,1.186563356550423e-05
ню,39,0.00011568992726366624
нч,102,0.00030257365592035784
ьп,15,4.4496125870640864e-05
ьт,71,0.00021061499578770007
йн,124,0.00036783464053063113
дк,100,0.00029664083913760573
бс,55,0.00016315246152568316
лч,44,0.00013052196922054652
яе,32,9.492506852403384e-05
пп,343,0.0010174780782419878
 ш,361,0.0010708734292867567
тз,3,8.899225174128173e-06
ыз,27,8.009302656715355e-05
рх,54,0.0001601860531343071
нк,162,0.0004805581594029213
лы,231,0.0006852403384078693
йс,188,0.0005576847775786988
шт,55,0.00016315246152568316
оц,61,0.0001809509118739395
ыч,48,0.00014238760278605076
рм,118,0.0003500361901823748
мм,47,0.0001394211943946747
ун,152,0.00045089407548916074
нэ,3,8.899225174128173e-06
иб,125,0.0003708010489220072
ух,191,0.000566584002752827
еу,72,0.00021358140417907615
яя,26,7.71266181757775e-05
п ,288,0.0008543256167163046
гн,78,0.00023137985452733248
рю,49,0.00014535401117742681
шп,9,2.669767552238452e-05
мк,46,0.00013645478600329865
вь,31,9.195866013265778e-05
чв,6,1.7798450348256345e-05
чш,21,6.22945762188972e-05
ищ,118,0.0003500361901823748
эп,11,3.263049230513663e-05
нг,74,0.00021951422096182826
иэ,4,1.186563356550423e-05
хр,39,0.00011568992726366624
цы,97,0.0002877416139634776
яз,67,0.00019874936222219586
ык,71,0.00021061499578770007
сц,24,7.119380139302538e-05
вх,37,0.00010975711048091413
рд,100,0.00029664083913760573
юм,23,6.822739300164933e-05
 щ,35,0.00010382429369816201
юк,58,0.00017205168669981135
ощ,78,0.00023137985452733248
лф,4,1.186563356550423e-05
дм,38,0.00011272351887229018
ыд,38,0.00011272351887229018
вг,12,3.559690069651269e-05
яг,51,0.00015128682796017892
мф,14,4.1529717479264804e-05
шь,70,0.00020764858739632402
бв,16,4.746253426201692e-05
см,255,0.0007564341398008947
жб,19,5.636175943614509e-05
цу,78,0.00023137985452733248
гт,5,1.4832041956880288e-05
хе,38,0.00011272351887229018
шо,98,0.00029070802235485363
ыр,66,0.0001957829538308198
ьм,64,0.00018985013704806767
рч,34,0.00010085788530678596
мх,6,1.7798450348256345e-05
пн,42,0.0001245891524377944
яж,46,0.00013645478600329865
хл,59,0.0001750180950911874
рп,37,0.00010975711048091413
пя,122,0.000361901823747879
пт,42,0.0001245891524377944
нр,24,7.119380139302538e-05
нж,43,0.00012755556082917047
дж,30,8.899225174128173e-05
ув,162,0.0004805581594029213
мь,41,0.00012162274404641836
лб,17,5.042894265339298e-05
зс,13,3.856330908788875e-05
щу,47,0.0001394211943946747
оу,37,0.00010975711048091413
лт,47,0.0001394211943946747
яп,50,0.00014832041956880287
мр,41,0.00012162274404641836
ьи,31,9.195866013265778e-05
иу,20,5.932816782752115e-05
бю,21,6.22945762188972e-05
йл,35,0.00010382429369816201
яц,20,5.932816782752115e-05
жч,15,4.4496125870640864e-05
уй,53,0.00015721964474293105
дш,23,6.822739300164933e-05
сш,29,8.602584334990567e-05
щ ,37,0.00010975711048091413
тм,8,2.373126713100846e-05
тт,26,7.71266181757775e-05
чч,4,1.186563356550423e-05
лд,26,7.71266181757775e-05
вч,26,7.71266181757775e-05
рз,42,0.0001245891524377944
бя,69,0.00020468217900494797
йч,61,0.0001809509118739395
юв,6,1.7798450348256345e-05
ьц,32,9.492506852403384e-05
йт,152,0.00045089407548916074
тю,44,0.00013052196922054652
лв,13,3.856330908788875e-05
тб,6,1.7798450348256345e-05
рц,28,8.305943495852961e-05
рщ,11,3.263049230513663e-05
жл,8,2.373126713100846e-05
зц,2,5.932816782752115e-06
пц,5,1.4832041956880288e-05
цв,53,0.00015721964474293105
ьз,33,9.78914769154099e-05
мш,3,8.899225174128173e-06
бч,6,1.7798450348256345e-05
хд,3,8.899225174128173e-06
дч,8,2.373126713100846e-05
эз,1,2.9664083913760574e-06
хс,15,4.4496125870640864e-05
лп,30,8.899225174128173e-05
хк,3,8.899225174128173e-06
кк,11,3.263049230513663e-05
ьв,22,6.526098461027326e-05
ыи,22,6.526098461027326e-05
еф,18,5.339535104476904e-05
гс,15,4.4496125870640864e-05
яа,4,1.186563356550423e-05
аа,28,8.305943495852961e-05
йд,52,0.000154253236351555
уи,17,5.042894265339298e-05
сф,10,2.9664083913760576e-05
дз,6,1.7798450348256345e-05
йк,60,0.00017798450348256346
юх,4,1.186563356550423e-05
яй,37,0.00010975711048091413
пк,32,9.492506852403384e-05
сб,26,7.71266181757775e-05
фм,3,8.899225174128173e-06
фн,3,8.899225174128173e-06
яф,2,5.932816782752115e-06
лм,5,1.4832041956880288e-05
ао,16,4.746253426201692e-05
нщ,18,5.339535104476904e-05
бк,28,8.305943495852961e-05
шю,3,8.899225174128173e-06
жм,4,1.186563356550423e-05
нф,7,2.0764858739632402e-05
йз,8,2.373126713100846e-05
уф,10,2.9664083913760576e-05
тг,3,8.899225174128173e-06
