Символ(и),Кількість,Частота
ча,717,0.002503115803144081
зу,119,0.00041544041921080284
вц,41,0.00014313493434994046
ых,404,0.0014104027677408768
ах,478,0.0016687438687627207
пь,24,8.37863030341115e-05
уе,108,0.00037703836365350174
мх,32,0.00011171507071214867
со,981,0.0034247651365193073
йг,118,0.0004119493232510482
пу,296,0.001033364404087375
уо,131,0.0004573335707278586
ои,487,0.0017001637324005124
зк,72,0.0002513589091023345
пн,67,0.00023390342930356127
хи,174,0.0006074506969973083
зд,320,0.0011171507071214867
тв,1101,0.003843696651689865
зе,191,0.0006667993283131373
мл,104,0.0003630739798144832
яи,188,0.0006563260404338734
ьм,185,0.0006458527525546095
ым,527,0.0018398075707906983
сю,74,0.00025834110102184376
же,1071,0.0037389637728972255
аи,400,0.0013964383839018583
са,633,0.002209863742524691
му,646,0.002255247990001501
ею,31,0.00010822397475239402
рс,279,0.0009740157727715461
фу,35,0.0001221883585914126
ед,1233,0.004304521318377478
жи,499,0.0017420568839175683
вп,277,0.0009670335808520369
ое,625,0.0021819349748466534
пл,311,0.0010857308434836948
ад,992,0.0034631671920766086
жа,489,0.0017071459243200218
сп,710,0.0024786781314257984
пи,532,0.0018572630505894715
шу,106,0.00037005617173399243
ла,1742,0.006081489161892593
юм,51,0.00017804589394748694
иэ,49,0.00017106370202797763
ры,500,0.0017455479798773228
ют,180,0.0006283972727558362
зы,127,0.00044336918688884
мя,164,0.0005725397373997619
ин,1852,0.006465509717465604
бл,343,0.0011974459141958435
ож,676,0.0023599808687941406
ку,670,0.0023390342930356125
ио,551,0.0019235938738248097
сн,421,0.001469751399056706
дл,175,0.000610941792957063
уб,421,0.001469751399056706
нь,370,0.001291705505109219
уи,181,0.0006318883687155909
сх,82,0.00028626986869988093
тт,101,0.0003526006919352192
ут,538,0.0018782096263479993
бы,936,0.0032676658183303483
ар,1382,0.00482469461638092
об,1363,0.004758363793145582
юж,34,0.00011869726263165795
хв,142,0.0004957356262851597
ющ,146,0.0005097000101241783
уп,449,0.0015675020859298359
ун,370,0.001291705505109219
зо,251,0.0008762650858984161
ть,1454,0.005076053525483255
еп,857,0.0029918692375097314
дд,31,0.00010822397475239402
жк,71,0.00024786781314257983
ди,831,0.0029011007425561106
ее,661,0.002307614429397821
яб,148,0.0005166822020436875
ря,292,0.0010194000202483565
аю,239,0.0008343719343813604
зм,129,0.0004503513788083493
яц,29,0.00010124178283288473
ая,741,0.0025869021061781924
ма,1245,0.004346414469894534
су,272,0.0009495781010532636
оо,428,0.0014941890707749885
тк,244,0.0008518274141801335
яо,195,0.000680763712152156
чт,580,0.0020248356566576944
еж,354,0.0012358479697531445
дв,480,0.00167572606068223
мд,112,0.00039100274749252035
чь,68,0.0002373945252633159
юа,16,5.5857535356074336e-05
кг,32,0.00011171507071214867
ещ,215,0.0007505856313472488
яс,442,0.0015430644142115535
еб,609,0.0021260774394905794
ян,586,0.0020457822324162224
ец,192,0.000670290424272892
вя,84,0.00029325206061939024
рш,73,0.00025485000506208914
ию,107,0.0003735472676937471
лю,268,0.0009356137172142451
яч,134,0.00046780685860712255
ке,260,0.0009076849495362079
кл,331,0.0011555527626787878
иу,166,0.0005795219293192712
хс,123,0.00042940480304982145
еи,322,0.0011241328990409959
ир,570,0.001989924697060148
еш,263,0.0009181582374154718
ыт,262,0.0009146671414557172
жв,14,4.8875343436565044e-05
мс,288,0.001005435636409338
лу,510,0.0017804589394748694
ия,396,0.0013824740000628398
кв,243,0.000848336318220379
дя,129,0.0004503513788083493
ыр,122,0.00042591370709006677
мж,31,0.00010822397475239402
дг,18,6.283972727558363e-05
фс,7,2.4437671718282522e-05
сд,102,0.0003560917878949739
ын,222,0.0007750233030655313
рк,179,0.0006249061767960816
рр,45,0.00015709931818895905
ек,749,0.00261483087385623
мв,261,0.0009111760454959626
вь,36,0.00012567945455116726
юи,52,0.0001815369899072416
бн,111,0.00038751165153276567
ые,506,0.0017664945556358507
оц,82,0.00028626986869988093
ып,250,0.0008727739899386614
шн,128,0.0004468602828485947
хн,155,0.0005411198737619701
ух,195,0.000680763712152156
их,505,0.0017630034596760962
кс,250,0.0008727739899386614
уж,420,0.0014662603030969512
зр,86,0.00030023425253889954
нз,47,0.00016408151010846835
тз,53,0.00018502808586699622
сь,970,0.0033863630809620065
кц,63,0.0002199390454645427
йж,45,0.00015709931818895905
