*,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
к,0.008774437904977627,0.000612688215963313,0.000679526930432038,0.00023393550064053768,0.0003230537865988377,0.0006052616921334547,0.00016338352425688345,8.911828595830007e-05,0.0034421937951393403,3.7132619149291695e-06,0.0004233118583019253,0.0005050036204303671,0.00020051614340617515,0.003245390913648094,0.010144631551586491,0.00034904662000334195,0.0020237277436363976,0.0006201147397931713,0.0007315125972410464,0.0018751972670392307,2.9706095319433356e-05,5.5698928723937545e-05,4.084588106422086e-05,0.00013739069085237928,2.9706095319433356e-05,3.7132619149291695e-06,-,-,8.169176212844172e-05,1.8566309574645847e-05,8.54050240433709e-05
л,0.0077941367594363264,0.00039360576298249196,0.0008466237166038506,0.0004641577393661462,0.0008429104546889215,0.0048680863704721414,0.0004418781678765712,0.0001930896195763168,0.007979799855182785,3.7132619149291695e-06,0.0019457492434228848,0.0002562150721301127,0.00010768459553294592,0.0011251183602235383,0.008659326785614823,0.0009543083121367966,0.00040845881064220863,0.0023022223872560853,0.0003564731438332003,0.0015595700042702512,3.7132619149291694e-05,2.5992833404504185e-05,7.426523829858339e-06,0.000679526930432038,7.426523829858339e-05,7.426523829858339e-06,0.0014555986706522345,0.004047455487272795,0.00010025807170308757,0.0010285735504353799,0.002053433838955831
м,0.00339763465216019,0.00029706095319433355,0.0008354839308590632,0.0004418781678765712,0.0003638996676630586,0.0033270826757765357,0.0001336774289374501,0.00022279571489575018,0.004752975251109337,-,0.0006869534542618963,0.0002784946436196877,0.0002673548578749002,0.0019680288149124597,0.004819813965578062,0.0010174337646905924,0.0002562150721301127,0.0010619929076697424,0.0003861792391526336,0.002781233174281948,4.82724048940792e-05,0.00010025807170308757,5.198566680900837e-05,0.0004864373108557212,8.54050240433709e-05,7.426523829858339e-06,0.0006943799780917547,3.341935723436253e-05,7.055197638365422e-05,5.941219063886671e-05,0.0006535340970275338
н,0.012424574367353001,0.00031934052468390856,0.0004975770966005088,0.0003267670485137669,0.0015075843374612427,0.010088932622862553,6.312545255379589e-05,0.00021536919106589184,0.008083771188800801,-,0.0005050036204303671,4.084588106422086e-05,0.0001559570004270251,0.004006609606208574,0.01050853121924955,0.0006423943112827463,0.0001708100480867418,0.0009951541932010175,0.0008948961214979298,0.0032342511279033065,2.5992833404504185e-05,5.198566680900837e-05,0.0006758136685171089,0.0003119140008540502,6.312545255379589e-05,0.0001819498338315293,0.0034793264142886316,0.0011473979317131134,4.084588106422086e-05,0.00018566309574645848,0.004014036130038433
о,0.00021165592915096265,0.005020330108984237,0.011997549247136146,0.006067469968994263,0.0060897495404838384,0.003167412413434582,0.0023579213159800228,0.0016486882902285512,0.0023133621730008725,0.0041811329162102446,0.003393921390245261,0.008198882308163607,0.0065019216130409755,0.010560516886058559,0.0022910826015112976,0.0034904662000334193,0.0077941367594363264,0.009728746217114424,0.0091271977868959,0.0006052616921334547,0.0006015484302185254,0.000724086073411188,0.00014853047659716678,0.002602996602365348,0.001555856742355322,0.0001448172146822376,-,3.7132619149291695e-06,0.0003787527153227753,0.0008651900261784965,0.0010545663838398842
п,0.0013404875512894301,3.7132619149291695e-06,-,1.1139785744787509e-05,3.7132619149291695e-06,0.002922337127049256,-,-,0.0009208889549024341,-,8.54050240433709e-05,0.0008429104546889215,-,5.941219063886671e-05,0.01023374983754479,8.54050240433709e-05,0.006943799780917547,1.1139785744787509e-05,7.055197638365422e-05,0.0008726165500083548,-,-,3.7132619149291695e-06,7.426523829858339e-06,1.1139785744787509e-05,-,0.00028592116744954605,0.0006943799780917547,3.7132619149291695e-06,-,0.00041959859638699613
р,0.009806724717327936,0.0001819498338315293,0.0004641577393661462,0.00041959859638699613,0.0005012903585154379,0.007303986186665676,0.0004307383821317837,5.5698928723937545e-05,0.006264272850485509,3.7132619149291695e-06,0.00040845881064220863,0.00010768459553294592,0.00029706095319433355,0.0008651900261784965,0.008711312452423832,0.0003044874770241919,6.683871446872505e-05,0.0004530179536213587,0.0007946380497948423,0.0036612762481201613,6.312545255379589e-05,0.00015967026234195428,0.00011139785744787509,0.00012625090510759177,0.0002710681197898294,7.055197638365422e-05,0.0017786524572510722,0.0009580215740517257,1.8566309574645847e-05,0.00027478138170475855,0.0013516273370342178
с,0.0017415198381017804,0.00020051614340617515,0.002231670410872431,0.00016338352425688345,0.0005050036204303671,0.003999183082378716,0.00010768459553294592,0.0001225376431926626,0.0020720001485304766,-,0.005792688587289504,0.0026809751025788603,0.0013256345036297135,0.0012030968604370509,0.0030523012940717772,0.0024136202447039602,0.0003787527153227753,0.0012773620987356342,0.012617663986929317,0.0010842724791593175,4.4559142979150036e-05,0.00024136202447039602,3.341935723436253e-05,0.00044559142979150036,7.426523829858339e-05,-,0.0005198566680900838,0.00406973505876237,7.797850021351256e-05,0.00017452331000167098,0.0036687027719500193
т,0.0064870685653812595,0.0003007742151092627,0.002985462579603052,0.00017823657191660014,0.00041959859638699613,0.005629305063032621,6.683871446872505e-05,0.00012625090510759177,0.004251684892593899,3.7132619149291695e-06,0.0007166595495813297,0.0004010322868123503,0.0002487885483002544,0.0014258925753328012,0.01608956387738809,0.0005161434061751545,0.003345648985351182,0.0015150108612911012,0.00040845881064220863,0.0021722582202335643,5.941219063886671e-05,5.5698928723937545e-05,0.00013739069085237928,0.0003898925010675628,4.084588106422086e-05,1.8566309574645847e-05,0.0017712259334212138,0.0058966599209075215,0.00015224373851209594,7.797850021351256e-05,0.000679526930432038
у,0.00018937635766138765,0.0008466237166038506,0.0016449750283136222,0.001774939195336143,0.0025324446259816936,0.0002896344293644752,0.0015075843374612427,0.0011251183602235383,0.000590408644473738,0.00012996416702252094,0.0018009320287406473,0.0019011901004437348,0.0014815915040567386,0.0011585377174579009,0.00044559142979150036,0.0012402294795863427,0.0007575054306455506,0.002383914149384527,0.0020942797200200515,0.00015967026234195428,4.084588106422086e-05,0.0005012903585154379,1.4853047659716678e-05,0.0012328029557564842,0.0010100072408607342,0.00026364159595997105,-,-,0.00010025807170308757,0.0012587957891609886,0.0001448172146822376
