*,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
к,0.009021369822320418,0.000644250942240211,0.000621971370750636,0.00020979929819349807,0.00029891758415179817,0.0006479642041551401,0.00016709678617181264,9.468817883069382e-05,0.0032973765804571024,1.8566309574645848e-06,0.0004493046917064295,0.0004957204656430441,0.00023022223872560851,0.003215684818328661,0.010191047325523105,0.00039360576298249196,0.0021351256010842725,0.0006238280017081004,0.000724086073411188,0.0019141865171459869,2.5992833404504185e-05,5.012903585154379e-05,3.156272627689794e-05,0.0001559570004270251,2.7849464361968772e-05,3.7132619149291695e-06,-,-,9.097491691576466e-05,2.2279571489575018e-05,7.426523829858339e-05
л,0.007747720985499712,0.00041588533447206697,0.0008076344664970944,0.00046601437032361075,0.0008076344664970944,0.004817957334620597,0.0004307383821317837,0.00019123298861885223,0.00795752028369321,1.8566309574645848e-06,0.0018584875884220494,0.00026364159595997105,0.00012810753606505636,0.001104695419691428,0.008538645773379625,0.0009246022168173632,0.00035832977479066484,0.0023727743636397392,0.00036946956053545235,0.0015447169566105345,3.527598819182711e-05,2.9706095319433356e-05,5.5698928723937545e-06,0.0006683871446872506,7.426523829858339e-05,5.5698928723937545e-06,0.0014426022539499824,0.004095727892166874,9.65448097881584e-05,0.0009784445145838362,0.002073856779487941
м,0.003349362247266111,0.000295204322236869,0.0008169176212844173,0.00044559142979150036,0.00036018640574812945,0.003349362247266111,0.00012068101223519801,0.00019865951244871056,0.0047993910250459515,-,0.0007092330257514714,0.00029149106032193983,0.00027292475074729394,0.002029297636508791,0.004778968084513841,0.0010304301813928445,0.00025250181021518355,0.00107313269341453,0.00033048031042869606,0.0027942295909842,5.198566680900837e-05,9.283154787322924e-05,4.641577393661462e-05,0.0004697276322385399,8.169176212844172e-05,5.5698928723937545e-06,0.0007370824901134402,2.7849464361968772e-05,7.983513117097714e-05,7.612186925604797e-05,0.0005922652754312025
н,0.012220344962031896,0.0003434767271309482,0.0005532760253244462,0.0003434767271309482,0.001533577170865747,0.010358144111694919,5.941219063886671e-05,0.00021165592915096265,0.00817660273667403,-,0.0005198566680900838,3.898925010675628e-05,0.0001243942741501272,0.003967620356101818,0.010287592135311264,0.0006813835613895026,0.00016709678617181264,0.0009988674551159465,0.0009227455858598987,0.0033270826757765357,2.41362024470396e-05,5.5698928723937545e-05,0.000679526930432038,0.000317483893726444,6.498208351126047e-05,0.0001726666790442064,0.0036092905813111527,0.001184530550862405,3.527598819182711e-05,0.00018009320287406473,0.0040028963442936445
о,0.00023022223872560851,0.005042609680473812,0.012034681866285438,0.006156588254952563,0.0062809825291026905,0.0031135701156681087,0.0023040790182135497,0.0016561148140584096,0.002294795863426227,0.004257254785466293,0.0032231113421585193,0.008369692356250348,0.006563190434637307,0.010430552719036036,0.0023449248992777707,0.0035424518668424275,0.007879541783479698,0.00990883941998849,0.009028796346150276,0.0005978351683035963,0.0006925233471342901,0.0007946380497948423,0.00014853047659716678,0.0025992833404504187,0.0016505449211860158,0.0001578136313844897,-,1.8566309574645848e-06,0.00040845881064220863,0.0008818997047956778,0.0010879857410742468
п,0.0013739069085237927,1.8566309574645848e-06,1.8566309574645848e-06,1.6709678617181263e-05,1.8566309574645848e-06,0.0028870611388574293,-,-,0.0008911828595830007,-,7.983513117097714e-05,0.0008447670856463861,-,6.312545255379589e-05,0.010126065242011845,9.468817883069382e-05,0.007045914483578099,1.1139785744787509e-05,6.12688215963313e-05,0.0008094910974545589,1.8566309574645848e-06,-,1.8566309574645848e-06,9.283154787322924e-06,1.4853047659716678e-05,-,0.0002320788696830731,0.0006962366090492193,3.7132619149291695e-06,-,0.00042145522734446074
р,0.009938545515307923,0.00020794266723603348,0.0004363082750041774,0.0003676129295779878,0.0005198566680900838,0.007075620578897533,0.000438164905961642,6.683871446872505e-05,0.006284695791017619,1.8566309574645848e-06,0.0004066021796847441,8.911828595830007e-05,0.0003063441079816565,0.000898609383412859,0.008230445034440504,0.0002432186554278606,9.283154787322924e-05,0.0004771541560683983,0.0008039212045821652,0.00368912571248213,4.82724048940792e-05,0.00017452331000167098,0.00011511111936280426,0.00011511111936280426,0.0002822079055346169,7.612186925604797e-05,0.0016969606951226304,0.0009505950502218674,1.8566309574645847e-05,0.00024693191734278977,0.0012717922058632406
с,0.0017359499452293868,0.00021351256010842726,0.0022743729228941164,0.0001336774289374501,0.0005124301442602254,0.004034459070570543,0.00010582796457548133,0.0001243942741501272,0.0020627169937431538,1.8566309574645848e-06,0.0057741222777148585,0.002809082638643917,0.001247656003416201,0.0012272330628840906,0.0030875772822636046,0.002307792280128479,0.00044559142979150036,0.0012717922058632406,0.012690072594270437,0.0010304301813928445,5.198566680900837e-05,0.00023022223872560851,2.7849464361968772e-05,0.0004288817511743191,9.283154787322924e-05,1.8566309574645848e-06,0.00047158426319600453,0.003930487736952526,6.869534542618964e-05,0.00015224373851209594,0.0036278568908857988
т,0.006492638458253653,0.00032119715564137317,0.0029928891034329106,0.00015967026234195428,0.0004066021796847441,0.005590315812925865,6.498208351126047e-05,0.00013924732180984386,0.004329663392807412,3.7132619149291695e-06,0.0007445090139432985,0.00039546239393995657,0.0002432186554278606,0.0015502868494829283,0.01606914093685598,0.0005458495014945879,0.0034310540093945526,0.0014500287777798407,0.0003787527153227753,0.002222387256085108,4.641577393661462e-05,5.941219063886671e-05,0.00014296058372477303,0.0004010322868123503,2.5992833404504185e-05,2.5992833404504185e-05,0.001832494755017545,0.0058558140398433005,0.0001448172146822376,7.24086073411188e-05,0.0006553907279849984
у,0.00019680288149124598,0.0008391971927739923,0.0015985592543770076,0.0016951040641651658,0.0025992833404504187,0.0002822079055346169,0.0015614266352277158,0.0011752473960750822,0.0006683871446872506,0.00011139785744787509,0.0018584875884220494,0.0018677707432093722,0.0015224373851209596,0.001180817288947476,0.0004474480607489649,0.0013126380869274614,0.0008429104546889215,0.0023542080540650935,0.0020181578507640035,0.00016709678617181264,4.82724048940792e-05,0.0004697276322385399,1.2996416702252093e-05,0.0012030968604370509,0.0009357420025621507,0.00023579213159800227,-,-,0.0001225376431926626,0.0011882438127773342,0.0001559570004270251
