*,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я, 
к,0.007670642190401416,-,0.0001620119390336611,3.1156142121857905e-06,1.869368527311474e-05,0.00046111090340349696,1.2462456848743162e-05,1.2462456848743162e-05,0.002330479430714971,-,6.231228424371581e-06,0.00035829563440136587,-,0.002349173115988086,0.008113059408531798,-,0.0016699692177315835,7.477474109245897e-05,0.0004143766902207101,0.001560922720305081,-,3.1156142121857905e-06,6.231228424371581e-06,3.1156142121857905e-06,6.231228424371581e-06,-,-,-,-,1.869368527311474e-05,-,0.004938248526314477
л,0.006418165277102728,1.557807106092895e-05,1.557807106092895e-05,0.00013397141112398897,0.0003302551064916938,0.0036483842424695607,0.0003614112486135517,6.231228424371581e-06,0.006399471591829613,-,0.0007290537256514749,0.0001246245684874316,9.34684263655737e-06,0.00023367106591393427,0.006165800525915679,0.00011527772585087424,-,0.0013864483244226766,4.3618598970601065e-05,0.0012119739285402725,9.34684263655737e-06,-,-,0.0002180929948530053,3.1156142121857905e-06,-,0.0012867486696327313,0.003492603531860271,-,0.0008162909235926771,0.0016543911466706546,0.007817076058374148
м,0.00264204085193355,6.231228424371581e-06,-,5.9196670031530015e-05,-,0.002648272080357922,-,3.1156142121857905e-06,0.0033492852780997247,-,6.542789845590159e-05,9.65840405777595e-05,1.2462456848743162e-05,0.0012213207711768298,0.003595418800862402,0.0002243242232773769,4.3618598970601065e-05,0.0001246245684874316,5.6081055819344224e-05,0.0022370110043493973,-,3.1156142121857905e-06,3.738737054622948e-05,2.4924913697486324e-05,9.34684263655737e-06,-,0.0006293540708615297,2.1809299485300533e-05,-,6.854351266808738e-05,0.00039568300494759537,0.007265612342817263
н,0.010353186027093382,9.34684263655737e-06,1.869368527311474e-05,0.00017759001009459005,0.0010935805884772123,0.008655176281452126,3.427175633404369e-05,1.557807106092895e-05,0.006427512119739285,-,0.0002554803653992348,-,3.1156142121857905e-06,0.002838324547301255,0.008278186961777645,6.231228424371581e-06,4.0502984758415274e-05,0.00043930160391819644,0.0005390012587081417,0.002673196994055408,6.231228424371581e-06,-,0.0005327700302837702,0.00018070562430677584,4.0502984758415274e-05,0.00013397141112398897,0.0029785271868496156,0.0008941812788973218,3.1156142121857905e-06,0.00014954948218491793,0.003327475978614424,0.0043462818259991775
о,6.231228424371581e-06,0.0031623484253685773,0.007975972383195622,0.004704577460400544,0.004489600079759724,0.0021341957353472663,0.0015702695629416384,0.0009440311062922944,0.0007228224972271034,0.0034832566892237134,0.0016730848319437693,0.00654278984559016,0.004903976769980434,0.00656459914507546,0.00015266509639710372,0.0010904649742650267,0.0061471068406425645,0.0064867087897708155,0.006689223713562892,5.296544160715843e-05,0.0004424172181303822,0.000579504243466557,9.65840405777595e-05,0.0013116735833302176,0.0012711705985718024,0.00011527772585087424,-,-,1.557807106092895e-05,0.0007352849540758465,0.0005483481013446991,0.02098054610485911
п,0.0011029274311137698,-,-,9.34684263655737e-06,-,0.00246445084183896,-,-,0.0007446317967124039,-,7.477474109245897e-05,0.000697897583529617,-,4.984982739497265e-05,0.008567939083510924,6.542789845590159e-05,0.005904088932092073,6.231228424371581e-06,7.165912688027317e-05,0.0006854351266808739,3.1156142121857905e-06,-,3.1156142121857905e-06,9.34684263655737e-06,1.557807106092895e-05,-,0.0001993993095798906,0.0005857354718909286,3.1156142121857905e-06,-,0.0003832205480988522,4.673421318278686e-05
р,0.008352961702870103,0.00015266509639710372,0.00026794282224797795,0.00026794282224797795,0.0004206079186450817,0.00595082314527486,0.00040191423337196695,4.984982739497265e-05,0.0053308159170498874,-,0.00029909896436983586,4.3618598970601065e-05,0.00017759001009459005,0.0006324696850737154,0.00680138582520158,4.0502984758415274e-05,4.3618598970601065e-05,0.0002274398374895627,0.000623122842437158,0.002972295958425244,1.869368527311474e-05,0.0001246245684874316,0.0001246245684874316,9.035281215338792e-05,0.00023055545170174848,5.296544160715843e-05,0.0014799167507882503,0.0008038284667439339,6.231228424371581e-06,0.00023678668012612006,0.0010125746189603819,0.0012680549843596166
с,0.0014176044665445346,4.984982739497265e-05,0.0016948941314290698,6.231228424371581e-06,0.0002928677359454643,0.0033212447501900525,1.2462456848743162e-05,7.165912688027317e-05,0.0017011253598534415,-,0.004502062536608467,0.002330479430714971,0.0009471467205044802,0.0007072444261661744,0.00240525417180743,0.0016730848319437693,0.0002554803653992348,0.0007352849540758465,0.010284642514425294,0.0007321693398636607,1.557807106092895e-05,0.00020563053800426215,1.869368527311474e-05,0.0003022145785820217,3.738737054622948e-05,-,0.0004112610760085243,0.003255816851734151,-,0.00010281526900213107,0.0028632494609987414,0.0030127989431836593
т,0.00538066574444486,2.8040527909672112e-05,0.002112386435861966,3.1156142121857905e-06,0.00010904649742650266,0.004452212709213494,-,6.231228424371581e-06,0.003280741765431637,-,0.0003520644059769943,0.00026171159382360636,5.6081055819344224e-05,0.0008412158372901634,0.013219551102304309,6.854351266808738e-05,0.002885058760484042,0.0007352849540758465,0.00010904649742650266,0.0017167034309143704,2.4924913697486324e-05,2.4924913697486324e-05,0.00010593088321431687,0.0001651275532458469,3.1156142121857905e-06,1.2462456848743162e-05,0.0014986104360613652,0.004826086414675789,6.231228424371581e-06,7.789035530464476e-05,0.00047668897446442594,0.004698346231976172
у,2.1809299485300533e-05,0.0005670417866178139,0.0008100596951683055,0.0012306676138133872,0.0018942934410089605,0.00011839334006306003,0.0012213207711768298,0.0008194065378048629,1.557807106092895e-05,0.00010593088321431687,0.0009907653194750814,0.0015110728929101083,0.0010374995326578682,0.00030533019279420744,2.1809299485300533e-05,0.0005701574008299996,0.000579504243466557,0.0013615234107251903,0.0013864483244226766,3.1156142121857905e-06,6.231228424371581e-06,0.0003614112486135517,-,0.0006418165277102729,0.0007415161825002181,0.00018382123851896164,-,-,2.1809299485300533e-05,0.0010219214615969391,5.6081055819344224e-05,0.006312234393888411
ф,0.00018382123851896164,-,-,-,-,0.0001277401826996174,-,-,0.0006698570556199449,-,1.869368527311474e-05,7.789035530464476e-05,-,-,5.296544160715843e-05,-,0.0004735733602522401,9.34684263655737e-06,6.231228424371581e-06,8.412158372901634e-05,3.1156142121857905e-06,-,-,-,-,-,2.1809299485300533e-05,3.1156142121857905e-06,3.1156142121857905e-06,-,-,0.00019005246694333322
