*,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я, 
к,0.007488378758988547,1.5578071060928952e-06,0.00016668536035193977,3.1156142121857905e-06,1.869368527311474e-05,0.0004735733602522401,1.0904649742650266e-05,7.789035530464475e-06,0.0024940491768547252,-,9.34684263655737e-06,0.0003551800201891801,1.5578071060928952e-06,0.0022588203038346978,0.008187834149624257,-,0.001710472202489999,7.010131977418028e-05,0.00039412519784150246,0.001514188507122294,-,3.1156142121857905e-06,1.0904649742650266e-05,3.1156142121857905e-06,6.231228424371581e-06,-,-,-,-,1.557807106092895e-05,-,0.004883725277601226
л,0.006394798170511334,2.336710659139343e-05,9.34684263655737e-06,0.00014799167507882505,0.00032713949227950796,0.0036468264353634676,0.0003302551064916938,6.231228424371581e-06,0.006306003165464039,-,0.0007804613601525405,0.00011527772585087424,9.34684263655737e-06,0.0002492491369748632,0.006226555003053302,0.00010281526900213107,-,0.0013443875325581684,4.206079186450817e-05,0.0011714709437818571,7.789035530464475e-06,-,-,0.00021030395932254085,1.5578071060928952e-06,1.5578071060928952e-06,0.0012104161214341795,0.0034365224760409267,1.5578071060928952e-06,0.0008194065378048629,0.001708914395383906,0.007835769743647263
м,0.0027432983138295885,3.1156142121857905e-06,-,6.075447713762291e-05,1.5578071060928952e-06,0.00269033287222243,-,3.1156142121857905e-06,0.003431849054722648,-,6.698570556199449e-05,7.477474109245897e-05,1.557807106092895e-05,0.0011169476950686058,0.0034972769531785497,0.000222766416171284,4.206079186450817e-05,0.00013085579691180318,5.6081055819344224e-05,0.002170025298787403,1.5578071060928952e-06,1.5578071060928952e-06,3.427175633404369e-05,2.6482720803579216e-05,6.231228424371581e-06,1.5578071060928952e-06,0.0006184494211188793,2.336710659139343e-05,1.5578071060928952e-06,6.075447713762291e-05,0.00042995476128163904,0.007268727957029449
н,0.010192731895165813,1.0904649742650266e-05,9.34684263655737e-06,0.0001651275532458469,0.0011185055021746986,0.008631809174860733,2.6482720803579216e-05,1.7135878167021846e-05,0.006545905459802346,-,0.0002180929948530053,3.1156142121857905e-06,3.1156142121857905e-06,0.002849229197043905,0.008312458718111688,1.2462456848743162e-05,3.894517765232238e-05,0.0003987986191597812,0.0005935245074213931,0.0026311362021909,9.34684263655737e-06,-,0.000565483979511721,0.0001884946598372403,3.582956344013659e-05,0.00014331825376054635,0.003028377014244588,0.0009938809336872672,3.1156142121857905e-06,0.00014954948218491793,0.0033290337857205168,0.004449097095001309
о,7.789035530464475e-06,0.0030377238568811455,0.00798999264715046,0.004620455876671527,0.0044304034097281935,0.002095250557694944,0.0015858476340025673,0.0008723719794120213,0.0007757879388342617,0.0035720516942710084,0.001665295796413305,0.006715706434366471,0.0048167395720392315,0.006668972221183684,0.00018537904562505452,0.0010935805884772123,0.00615022245485475,0.006468015104497701,0.006664298799865406,5.296544160715843e-05,0.0004642265176156828,0.0005390012587081417,9.191061925948082e-05,0.0013163470046484965,0.0012851908625266385,0.00012306676138133872,-,-,2.1809299485300533e-05,0.0007321693398636607,0.0006153338069066936,0.020728181353672062
п,0.0011527772585087424,-,-,1.4020263954836056e-05,-,0.002419274435762266,-,-,0.0007446317967124039,-,6.075447713762291e-05,0.0007088022332722673,-,5.140763450106554e-05,0.008491606535312371,7.944816241073765e-05,0.005911877967622537,3.1156142121857905e-06,4.829202028887975e-05,0.0006792038982565022,1.5578071060928952e-06,-,1.5578071060928952e-06,7.789035530464475e-06,1.2462456848743162e-05,-,0.0001947258882616119,0.0005841776647848356,3.1156142121857905e-06,-,0.0003536222130830872,3.2713949227950796e-05
р,0.008299996261262946,0.00012150895427524582,0.0002554803653992348,0.00027728966488453535,0.0003972408120536883,0.005919667003153001,0.00036452686282573745,3.2713949227950796e-05,0.005178150820652784,-,0.000252364751187049,6.075447713762291e-05,0.00023055545170174848,0.0006418165277102729,0.006821637317580788,4.3618598970601065e-05,4.984982739497265e-05,0.00023522887302002718,0.0006371431063919941,0.003042397278199424,2.1809299485300533e-05,0.00013085579691180318,9.502623347166661e-05,7.944816241073765e-05,0.0002321132588078414,6.38700913498087e-05,0.0014238356949689062,0.0007975972383195624,3.1156142121857905e-06,0.00020718834511035506,0.001053077603718797,0.0012664971772535238
с,0.00139891078127142,4.206079186450817e-05,0.0017042409740656273,1.0904649742650266e-05,0.00030533019279420744,0.003327475978614424,2.1809299485300533e-05,4.984982739497265e-05,0.0016434864969280044,-,0.0046438229832629204,0.002291534253062649,0.0009689560199897808,0.0007025710048478957,0.0024410837352475665,0.0016746426390498623,0.0002585959796114206,0.000743073989606311,0.010374995326578682,0.0007165912688027317,1.7135878167021846e-05,0.00018226343141286873,2.0251492379207637e-05,0.0003177926496429506,4.984982739497265e-05,-,0.00039568300494759537,0.003297877643598659,1.5578071060928952e-06,0.0001277401826996174,0.003025261400032402,0.0030221457858202166
т,0.005355740830747373,2.8040527909672112e-05,0.0020999239790132226,9.34684263655737e-06,0.0001292979898057103,0.004537892100048604,1.5578071060928952e-06,6.231228424371581e-06,0.0033383806283570744,-,0.00034427537044652985,0.00026950062935407086,4.673421318278686e-05,0.0008723719794120213,0.01321487768098603,6.075447713762291e-05,0.0027947059483306538,0.0008053862738500268,0.00010593088321431687,0.0017447439588240425,1.4020263954836056e-05,2.1809299485300533e-05,0.00011839334006306003,0.00016045413192756821,1.5578071060928952e-06,1.869368527311474e-05,0.0015375556137136874,0.004913323612616992,9.34684263655737e-06,5.9196670031530015e-05,0.0004875936242070762,0.004545681135579068
у,1.869368527311474e-05,0.000504729502374098,0.000831868994653606,0.0012244363853890156,0.0019098715120698894,0.00014643386797273214,0.0012509191061925947,0.0008583517154571852,1.7135878167021846e-05,9.035281215338792e-05,0.0009876497052628956,0.0014845901721065292,0.0009798606697324311,0.0003022145785820217,1.2462456848743162e-05,0.0005452324871325134,0.0005670417866178139,0.0013848905173165838,0.0014207200807567204,4.673421318278685e-06,6.231228424371581e-06,0.0003551800201891801,1.5578071060928952e-06,0.0006885507408930597,0.0007524208322428683,0.0001916102740494261,-,-,2.1809299485300533e-05,0.0009938809336872672,6.698570556199449e-05,0.006436858962375842
