Довжина ключа,Індекс
2,"0,0324673985647348"
3,"0,03176649076271079"
4,"0,032220257064464665"
5,"0,0312913780672229"
6,"0,03189829956285488"
7,"0,03220134581758864"
8,"0,03154675761750206"
9,"0,031269047252418615"
10,"0,03131391612856829"
11,"0,031228426930361642"
12,"0,031161538109219337"
13,"0,031047759758151577"
14,"0,034777834816631374"
15,"0,031046671713810755"
16,"0,03140748794187812"
17,"0,031238789257416993"
18,"0,031223867506457274"
19,"0,031079572102211503"
20,"0,0310278640902053"
21,"0,03125640521341109"
22,"0,03116915441960502"
23,"0,031157134120220815"
24,"0,031026827857499766"
25,"0,03099511913671038"
26,"0,031033407935179908"
27,"0,03106874347043867"
28,"0,03141287635194691"
29,"0,03102687966913504"
30,"0,031051282949350386"
31,"0,03098206260462064"
32,"0,03099636261595704"
33,"0,03105941737608885"
34,"0,030951338304901523"
35,"0,03117480188785019"
36,"0,031050505774821244"
37,"0,030925225240722044"
38,"0,031061645276405748"
39,"0,030954343379747576"
40,"0,030985223114372528"
41,"0,030955483235723665"
42,"0,031419922734344546"
43,"0,030975845208387427"
44,"0,030878076652620184"
45,"0,030913567622784764"
46,"0,031240499041381126"
47,"0,030961700631956877"
48,"0,03092838575047392"
49,"0,03140256583652683"
50,"0,03098828000085385"
