C:\Users\kysto\PycharmProjects\pythonProject1\venv\Scripts\python.exe C:\Users\kysto\PycharmProjects\pythonProject1\main.py 
-----Текст із пробілами-----
Біграмма з перетином'бш': 7.795088938067239e-06
Біграмма без перетину'бш': 7.103604292708074e-06
Біграмма з перетином'бщ': 6.9636127846734e-05
Біграмма без перетину'бщ': 6.69768404741047e-05
Біграмма з перетином'бъ': 7.58721989971878e-05
Біграмма без перетину'бъ': 6.900644170059272e-05
Біграмма з перетином'бы': 0.002744650815093475
Біграмма без перетину'бы': 0.002673492215591346
Біграмма з перетином'бь': 4.521151584078998e-05
Біграмма без перетину'бь': 4.211422544962644e-05
Біграмма з перетином'бя': 0.0007860048012551132
Біграмма без перетину'бя': 0.0007514598541071898
Біграмма з перетином'б ': 0.00026373384240460825
Біграмма без перетину'б ': 0.00026232595852357675
Біграмма з перетином'ва': 0.00499197495593826
Біграмма без перетину'ва': 0.0048959055585957294
Біграмма з перетином'вб': 3.37787187316247e-06
Біграмма без перетину'вб': 5.074003066220053e-06
Біграмма з перетином'вв': 8.39271242331906e-05
Біграмма без перетину'вв': 7.357304446019077e-05
Біграмма з перетином'вг': 2.338526681420172e-06
Біграмма без перетину'вг': 4.059202452976042e-06
Біграмма з перетином'вд': 0.0002200813443514317
Біграмма без перетину'вд': 0.00020701932510177817
Біграмма з перетином'ве': 0.00564780177192765
Біграмма без перетину'ве': 0.005491086118263341
Біграмма з перетином'вё': 2.598362979355746e-07
Біграмма з перетином'вз': 0.000407423315162981
Біграмма без перетину'вз': 0.00038816123456583403
Біграмма з перетином'ви': 0.0031809159593273045
Біграмма без перетину'ви': 0.00306926445475651
Біграмма з перетином'вк': 4.053446247794964e-05
Біграмма без перетину'вк': 3.85624233032724e-05
Біграмма з перетином'вл': 0.0008018548154291833
Біграмма без перетину'вл': 0.0008098108893687205
Біграмма з перетином'вм': 0.00013849274679966127
Біграмма без перетину'вм': 0.00013243148002834338
Біграмма з перетином'вн': 0.0005513726242192894
Біграмма без перетину'вн': 0.0005276963188868855
Біграмма з перетином'во': 0.009951990047230444
Біграмма без перетину'во': 0.00966343883961609
Біграмма з перетином'вп': 7.37935086137032e-05
Біграмма без перетину'вп': 7.458784507343478e-05
Біграмма з перетином'вр': 0.0009247573843527102
Біграмма без перетину'вр': 0.0009077391485467675
Біграмма з перетином'вс': 0.0026557868011995085
Біграмма без перетину'вс': 0.0026019487723576433
Біграмма з перетином'вт': 8.574597831873963e-05
Біграмма без перетину'вт': 8.219884967276486e-05
Біграмма з перетином'ву': 0.0009330721458866485
Біграмма без перетину'ву': 0.0009437645703169298
Біграмма з перетином'вф': 1.013361561948741e-05
Біграмма без перетину'вф': 7.103604292708074e-06
Біграмма з перетином'вх': 8.314761533938388e-05
Біграмма без перетину'вх': 7.611004599330079e-05
Біграмма з перетином'вц': 4.988856920363033e-05
Біграмма без перетину'вц': 5.023263035557852e-05
Біграмма з перетином'вч': 7.925007087035027e-05
Біграмма без перетину'вч': 7.255824384694675e-05
Біграмма з перетином'вш': 0.0005713800191603286
Біграмма без перетину'вш': 0.000574884547402732
Біграмма з перетином'вщ': 1.5590177876134478e-06
Біграмма без перетину'вщ': 1.0148006132440105e-06
Біграмма з перетином'вы': 0.0023782816350043146
Біграмма без перетину'вы': 0.002321356402795674
Біграмма з перетином'вь': 0.0003832585394549726
Біграмма без перетину'вь': 0.0003972944400850301
Біграмма з перетином'вю': 2.598362979355746e-07
Біграмма без перетину'вю': 5.074003066220053e-07
Біграмма з перетином'вя': 0.0008447278045885531
Біграмма без перетину'вя': 0.0008250328985673806
Біграмма з перетином'в ': 0.006902811090956476
Біграмма без перетину'в ': 0.006706817252929666
Біграмма з перетином'га': 0.001125091170061038
Біграмма без перетину'га': 0.0010777182512651392
Біграмма з перетином'гб': 1.8188540855490225e-06
Біграмма без перетину'гб': 2.029601226488021e-06
Біграмма з перетином'гв': 7.015580044260515e-06
Біграмма без перетину'гв': 7.103604292708074e-06
Біграмма з перетином'гг': 7.27541634219609e-06
Біграмма без перетину'гг': 7.103604292708074e-06
Біграмма з перетином'гд': 0.0011510747998545955
Біграмма без перетину'гд': 0.0011249064797809857
Біграмма з перетином'ге': 0.00028348140104771195
Біграмма без перетину'ге': 0.00027196656434939486
Біграмма з перетином'гз': 2.598362979355746e-07
Біграмма без перетину'гз': 5.074003066220053e-07
Біграмма з перетином'ги': 0.0008031539969188612
Біграмма без перетину'ги': 0.0007545042559469219
Біграмма з перетином'гк': 1.0913124513294134e-05
Біграмма без перетину'гк': 1.1670207052306122e-05
Біграмма з перетином'гл': 0.0006064579193816312
Біграмма без перетину'гл': 0.0006007619630404542
Біграмма з перетином'гн': 0.0004931692934817206
Біграмма без перетину'гн': 0.00048608949374388105
Біграмма з перетином'го': 0.012218801910420397
Біграмма без перетину'го': 0.011908685196418464
Біграмма з перетином'гп': 2.598362979355746e-07
Біграмма з перетином'гр': 0.0007119514563434745
Біграмма без перетину'гр': 0.0006956458203787692
Біграмма з перетином'гс': 1.3251651194714306e-05
Біграмма без перетину'гс': 1.5222009198660159e-05
Біграмма з перетином'гт': 1.8188540855490225e-06
Біграмма без перетину'гт': 2.029601226488021e-06
Біграмма з перетином'гу': 0.0004523749947058354
Біграмма без перетину'гу': 0.00044397526829425464
Біграмма з перетином'гф': 5.196725958711492e-07
Біграмма без перетину'гф': 5.074003066220053e-07
Біграмма з перетином'гч': 1.1692633407100859e-05
Біграмма без перетину'гч': 1.3699808278794143e-05
Біграмма з перетином'гш': 1.2991814896778731e-05
Біграмма без перетину'гш': 1.3699808278794143e-05
Біграмма з перетином'г ': 0.0008117285947507352
Біграмма без перетину'г ': 0.0007976332820097923
Біграмма з перетином'да': 0.005506970498446569
Біграмма без перетину'да': 0.005367787843754194
Біграмма з перетином'дб': 8.054925236002813e-06
Біграмма без перетину'дб': 7.611004599330079e-06
Біграмма з перетином'дв': 0.0006480317270513231
Біграмма без перетину'дв': 0.0006175061731589804
Біграмма з перетином'дг': 1.5590177876134478e-06
Біграмма без перетину'дг': 1.5222009198660159e-06
Біграмма з перетином'дд': 4.832955141601688e-05
Біграмма без перетину'дд': 5.276963188868855e-05
Біграмма з перетином'де': 0.006172671093757511
Біграмма без перетину'де': 0.005983771815993308
Біграмма з перетином'дж': 2.598362979355746e-07
Біграмма з перетином'дз': 1.5070505280263329e-05
Біграмма без перетину'дз': 1.2685007665550132e-05
Біграмма з перетином'ди': 0.0026261654632348526
Біграмма без перетину'ди': 0.0025557753444550406
Біграмма з перетином'дк': 6.0541857418988886e-05
Біграмма без перетину'дк': 6.596203986086068e-05
Біграмма з перетином'дл': 0.0008257597548392562
Біграмма без перетину'дл': 0.000860550920030921
Біграмма з перетином'дм': 5.5864804056148545e-05
Біграмма без перетину'дм': 5.378443250193256e-05
Біграмма з перетином'дн': 0.001880695124457689
Біграмма без перетину'дн': 0.001815985697400157
Біграмма з перетином'до': 0.0035982130538118376
Біграмма без перетину'до': 0.0034817809040402
Біграмма з перетином'дп': 3.0141010560526657e-05
Біграмма без перетину'дп': 2.7399616557588286e-05
Біграмма з перетином'др': 0.0008351138615649369
Біграмма без перетину'др': 0.0008123478909018304
Біграмма з перетином'дс': 0.0002408682481862777
Біграмма без перетину'дс': 0.00024456694779180656
Біграмма з перетином'дт': 7.37935086137032e-05
Біграмма без перетину'дт': 6.291763802112865e-05
Біграмма з перетином'ду': 0.0022873389307268635
Біграмма без перетину'ду': 0.002210235735645455
Біграмма з перетином'дх': 9.873779321551836e-06
Біграмма без перетину'дх': 8.118404905952084e-06
Біграмма з перетином'дц': 0.0005893087237178832
Біграмма без перетину'дц': 0.0005911213572146361
Біграмма з перетином'дч': 6.236071150453791e-06
Біграмма без перетину'дч': 9.133205519196095e-06
Біграмма з перетином'дш': 7.457301750750992e-05
Біграмма без перетину'дш': 7.002124231383673e-05
Біграмма з перетином'дщ': 1.63696867699412e-05
Біграмма без перетину'дщ': 1.6236809811904168e-05
Біграмма з перетином'дъ': 4.936889660775918e-06
Біграмма без перетину'дъ': 3.0444018397320317e-06
Біграмма з перетином'ды': 0.0007797687301046595
Біграмма без перетину'ды': 0.0007742928679051801
Біграмма з перетином'дь': 0.001218632237317845
Біграмма без перетину'дь': 0.0012162385349729467
Біграмма з перетином'дю': 2.5983629793557463e-06
Біграмма без перетину'дю': 3.551802146354037e-06
Біграмма з перетином'дя': 0.00046952419036958335
Біграмма без перетину'дя': 0.0004698526839319769
Біграмма з перетином'д ': 0.001891088576375112
Біграмма без перетину'д ': 0.0018763663338881755
Біграмма з перетином'еа': 4.079429877588522e-05
Біграмма без перетину'еа': 4.2621625756248444e-05
Біграмма з перетином'еб': 0.0023122832153286785
Біграмма без перетину'еб': 0.0022477833583354834
Біграмма з перетином'ев': 0.0020462108462426503
Біграмма без перетину'ев': 0.002016916218822471
Біграмма з перетином'ег': 0.004910386358386489
Біграмма без перетину'ег': 0.004751296471208457
Біграмма з перетином'ед': 0.0027721934626746456
Біграмма без перетину'ед': 0.002695310428776092
Біграмма з перетином'ее': 0.0012214904365951363
Біграмма без перетину'ее': 0.0012101497312934826
Біграмма з перетином'еж': 0.0008992934271550238
Біграмма без перетину'еж': 0.0008843987344421552
Біграмма з перетином'ез': 0.0008803253774057268
Біграмма без перетину'ез': 0.0008473585120587488
Біграмма з перетином'еи': 0.00022345921622459418
Біграмма без перетину'еи': 0.00022579313644679235
Біграмма з перетином'ей': 0.002416477570800844
Біграмма без перетину'ей': 0.002380214838363827
Біграмма з перетином'ек': 0.0011004067217571586
Біграмма без перетину'ек': 0.0010756886500386512
Біграмма з перетином'ел': 0.005895685600158188
Біграмма без перетину'ел': 0.005673750228647263
Біграмма з перетином'ем': 0.0054155081215732466
Біграмма без перетину'ем': 0.0053033480048132
Біграмма з перетином'ен': 0.006942825880838554
Біграмма без перетину'ен': 0.006798149308121627
Біграмма з перетином'ео': 0.0001002968110031318
Біграмма без перетину'ео': 9.234685580520497e-05
Біграмма з перетином'еп': 0.0006262054780247348
Біграмма без перетину'еп': 0.0006205505749987125
Біграмма з перетином'ер': 0.0048111288925751
Біграмма без перетину'ер': 0.004692438035640305
Біграмма з перетином'ес': 0.004846206792796403
Біграмма без перетину'ес': 0.004704615642999233
Біграмма з перетином'ет': 0.005152553788062445
Біграмма без перетину'ет': 0.005070451264073699
Біграмма з перетином'еу': 7.431318120957434e-05
Біграмма без перетину'еу': 6.900644170059272e-05
Біграмма з перетином'еф': 0.00028348140104771195
Біграмма без перетину'еф': 0.00027145916404277285
Біграмма з перетином'ех': 0.0007948392353849228
Біграмма без перетину'ех': 0.000763130061159496
Біграмма з перетином'ец': 0.0003268740628029529
Біграмма без перетину'ец': 0.0003064697851996912
Біграмма з перетином'еч': 0.0010388255191464274
Біграмма без перетину'еч': 0.0010163228141638766
Біграмма з перетином'еш': 0.0008782466870222422
Біграмма без перетину'еш': 0.0008392401071527967
Біграмма з перетином'ещ': 0.00036688885268503136
Біграмма без перетину'ещ': 0.0003577172161685137
Біграмма з перетином'еэ': 2.078690383484597e-06
Біграмма без перетину'еэ': 2.029601226488021e-06
Біграмма з перетином'ею': 0.0005773562540128468
Біграмма без перетину'ею': 0.0005439331286987897
Біграмма з перетином'ея': 0.00034896014812747675
Біграмма без перетину'ея': 0.00034756921003607365
Біграмма з перетином'е ': 0.0160716545362091
Біграмма без перетину'е ': 0.01568323607737956
Біграмма з перетином'ёл': 2.598362979355746e-07
