-----Текст із пробілами-----
Біграмма 'др': 0.001269214942774755
Біграмма 'дс': 0.00036607412941885436
Біграмма 'дт': 0.00011215216046920672
Біграмма 'ду': 0.0034763220725719255
Біграмма 'дх': 1.5006274992358647e-05
Біграмма 'дц': 0.0008956376758597213
Біграмма 'дч': 9.477647363594934e-06
Біграмма 'дш': 0.00011333686638965609
Біграмма 'дщ': 2.4878824329436702e-05
Біграмма 'дъ': 7.5031374961793235e-06
Біграмма 'ды': 0.00118510082242285
Біграмма 'дь': 0.0018520902556358435
Біграмма 'дю': 3.949019734831223e-06
Біграмма 'дя': 0.0007135878660840019
Біграмма 'еа': 6.19996098368502e-05
Біграмма 'еб': 0.0035142326620263052
Біграмма 'ев': 0.003109853041179588
Біграмма 'ег': 0.007462857494884045
Біграмма 'ед': 0.004213209155091432
Біграмма 'ее': 0.001856434177344158
Біграмма 'еж': 0.0013667557302250862
Біграмма 'ез': 0.0013379278861608184
Біграмма 'еи': 0.0003396156971954852
Біграмма 'ей': 0.003672588353393037
Біграмма 'ек': 0.001672409857701023
Біграмма 'ел': 0.008960325778332045
Біграмма 'ем': 0.008230546931335235
Біграмма 'ен': 0.010551780731469028
Біграмма 'ео': 0.0001524321617644852
Біграмма 'еп': 0.0009517137560943247
Біграмма 'ер': 0.007312004941013492
Біграмма 'ес': 0.007365316707433713
Біграмма 'ет': 0.007830906134170314
Біграмма 'еу': 0.00011294196441617297
Біграмма 'еф': 0.0004308380530700864
Біграмма 'ех': 0.0012080051368848711
Біграмма 'ец': 0.0004967866826417678
Біграмма 'еч': 0.001578818089985523
Біграмма 'еш': 0.0013347686703729534
Біграмма 'ещ': 0.0005576015865581687
Біграмма 'еэ': 3.159215787864978e-06
Біграмма 'ею': 0.0008774721850794978
Біграмма 'ея': 0.0005303533503878332
Біграмма 'ёл': 3.9490197348312227e-07
Біграмма 'ён': 7.898039469662445e-07
Біграмма 'ёр': 3.9490197348312227e-07
Біграмма 'ёт': 3.9490197348312227e-07
Біграмма 'жа': 0.001023585915268253
Біграмма 'жб': 4.343921708314345e-05
Біграмма 'жв': 4.343921708314345e-06
Біграмма 'жг': 3.554117761348101e-05
Біграмма 'жд': 0.001589085541296084
Біграмма 'же': 0.004763307604153421
Біграмма 'жё': 7.898039469662445e-07
Біграмма 'жж': 0.00016585882886291137
Біграмма 'жи': 0.002889497739976006
Біграмма 'жк': 3.5146275639997886e-05
Біграмма 'жл': 1.9745098674156113e-06
Біграмма 'жм': 3.159215787864978e-06
Біграмма 'жн': 0.0006369768832282763
Біграмма 'жо': 2.8827844064267926e-05
Біграмма 'жр': 8.411412035190505e-05
Біграмма 'жс': 1.579607893932489e-06
Біграмма 'жу': 0.0003167113827334641
Біграмма 'жч': 3.0012549984717294e-05
Біграмма 'жь': 5.6470982208086484e-05
Біграмма 'за': 0.006239056279059849
Біграмма 'зб': 0.0003791058945437974
Біграмма 'зв': 0.0013588576907554238
Біграмма 'зг': 0.0002464188314534683
Біграмма 'зд': 0.0008052051239320863
Біграмма 'зе': 0.0016909702504547296
Біграмма 'зж': 1.935019670067299e-05
Біграмма 'зз': 0.0002393105959307721
Біграмма 'зи': 0.00040003569913840285
Біграмма 'зк': 5.9630197995951465e-05
Біграмма 'зл': 0.0007787466917087172
Біграмма 'зм': 0.00025471177289661386
Біграмма 'зн': 0.0016882059366403477
Біграмма 'зо': 0.0008454851252273648
Біграмма 'зп': 7.5031374961793235e-06
Біграмма 'зр': 0.0015622322070992318
Біграмма 'зс': 2.3694118408987336e-06
Біграмма 'зт': 3.949019734831223e-06
Біграмма 'зу': 0.0003858192280930105
Біграмма 'зф': 3.9490197348312227e-07
Біграмма 'зц': 4.343921708314345e-06
Біграмма 'зч': 1.9745098674156113e-06
Біграмма 'зш': 7.898039469662445e-07
Біграмма 'зъ': 1.3426667098426158e-05
Біграмма 'зы': 0.0006211808042889513
Біграмма 'зь': 0.0003064439314229029
Біграмма 'зю': 1.4216471045392402e-05
Біграмма 'зя': 0.0004588760931873881
Біграмма 'иа': 0.0005603659003725506
Біграмма 'иб': 0.0017561290760794448
Біграмма 'ив': 0.0025463279250191725
Біграмма 'иг': 0.00045137295569120875
Біграмма 'ид': 0.002624123613795348
Біграмма 'ие': 0.0044485707312873725
Біграмма 'иж': 0.0002965713820858248
Біграмма 'из': 0.004645231914081968
Біграмма 'ии': 0.001905402022056065
Біграмма 'ий': 0.0018224726076246094
Біграмма 'ик': 0.0030178408813580204
Біграмма 'ил': 0.008972172837536539
Біграмма 'им': 0.005811772343751111
Біграмма 'ин': 0.0040023315012514445
Біграмма 'ио': 0.0009908090514691539
Біграмма 'ип': 0.0004185960918921096
Біграмма 'ир': 0.0012810620019792487
Біграмма 'ис': 0.005404233507116528
Біграмма 'ит': 0.006672658645944317
Біграмма 'иу': 0.0007108235522696201
Біграмма 'иф': 0.00026655883210110755
Біграмма 'их': 0.005155050361848678
Біграмма 'иц': 0.0010922988586543163
Біграмма 'ич': 0.0005654996260278312
Біграмма 'иш': 0.0009217012061096074
Біграмма 'ищ': 0.0006831804141258016
Біграмма 'иэ': 1.9745098674156113e-06
Біграмма 'ию': 0.0006069643332435589
Біграмма 'ия': 0.002683358909817816
Біграмма 'йв': 1.1847059204493668e-06
Біграмма 'йг': 3.9490197348312227e-07
Біграмма 'йд': 0.0006776517864970379
Біграмма 'йе': 3.9490197348312227e-07
Біграмма 'йи': 1.579607893932489e-06
Біграмма 'йк': 5.9235296022468344e-06
Біграмма 'йл': 6.318431575729956e-06
Біграмма 'йм': 2.6853334196852316e-05
Біграмма 'йн': 0.00030446942155548727
Біграмма 'йо': 1.1847059204493668e-06
Біграмма 'йр': 1.1847059204493668e-06
Біграмма 'йс': 0.0008865549304696096
Біграмма 'йт': 0.000707269434508272
Біграмма 'йц': 4.9757648658873405e-05
Біграмма 'йч': 1.9745098674156113e-06
Біграмма 'йш': 0.00015322196571145144
Біграмма 'йя': 1.579607893932489e-06
Біграмма 'ка': 0.007865262605863347
Біграмма 'кб': 6.713333549213079e-06
Біграмма 'кв': 0.0001630945150485295
Біграмма 'кд': 3.9490197348312227e-07
Біграмма 'ке': 0.00041543687610424464
Біграмма 'кж': 0.0001362411808516772
Біграмма 'ки': 0.003015471469517122
Біграмма 'кк': 4.8967844711907166e-05
Біграмма 'кл': 0.0007795364956556834
Біграмма 'км': 7.898039469662445e-07
Біграмма 'кн': 0.0003475137366651476
Біграмма 'ко': 0.00983740306143806
Біграмма 'кр': 0.0020617832035553815
Біграмма 'кс': 9.596117955639872e-05
Біграмма 'кт': 0.0008683894396893859
Біграмма 'ку': 0.00119773768557431
Біграмма 'кф': 7.898039469662445e-07
Біграмма 'кх': 2.1719608541571724e-05
Біграмма 'кш': 1.0662353284044302e-05
Біграмма 'ла': 0.007428501023191013
Біграмма 'лб': 5.923529602246834e-05
Біграмма 'лв': 2.1719608541571724e-05
Біграмма 'лг': 0.00010227961113212867
Біграмма 'лд': 5.6470982208086484e-05
Біграмма 'ле': 0.006683320999228362
Біграмма 'лж': 0.00042057060175952523
Біграмма 'лз': 4.738823681797467e-06
Біграмма 'ли': 0.01193196312879254
Біграмма 'лк': 0.00015045765189706958
Біграмма 'лл': 0.00012557882756763288
Біграмма 'лм': 6.871294338606328e-05
Біграмма 'лн': 0.0005287737424939007
Біграмма 'ло': 0.007232234742369901
Біграмма 'лп': 3.475137366651476e-05
Біграмма 'лс': 0.0010196368955334217
Біграмма 'лт': 3.9095295374829106e-05
Біграмма 'лу': 0.0018216828036776431
Біграмма 'лф': 1.026745131056118e-05
Біграмма 'лх': 4.501882497707594e-05
Біграмма 'лц': 2.764313814381856e-06
Біграмма 'лч': 0.00011491647428358858
Біграмма 'лш': 1.1452157231010546e-05
Біграмма 'лщ': 2.3694118408987336e-06
Біграмма 'лы': 0.0008371921837842192
Біграмма 'ль': 0.0027631291084614065
Біграмма 'лю': 0.0016945243682160776
Біграмма 'ля': 0.0027196898913782633
Біграмма 'ма': 0.0025139459631935567
Біграмма 'мв': 2.5668628276402948e-05
Біграмма 'мг': 1.2636863151459913e-05
