  |     |  à  |  á  |  â  |  ã  |  ä  |  å  |  æ  |  ç  |  è  |  é  |  ê  |  ë  |  ì  |  í  |  î  |  ï  |  ð  |  ñ  |  ò  |  ó  |  ô  |  õ  |  ö  |  ÷  |  ø  |  ù  |  ú  |  û  |  ü  |  ý  |  þ  |  ÿ  |  ¸  |
õ |19455|2184 | 64  | 735 | 59  | 95  | 799 | 16  | 40  |2063 |  0  | 126 | 764 | 89  | 340 |5276 | 191 |1809 | 352 | 167 | 685 |  5  | 12  | 12  | 36  | 15  |  0  |  0  |  0  |  1  |  6  |  2  | 24  |  0  |
ö |1323 |8547 |  3  | 135 | 13  |  3  |3128 |  0  |  1  | 134 |  0  |  4  |  3  |  6  |  3  | 594 | 16  | 15  |  6  | 10  | 664 |  8  |  0  |  3  |  1  |  0  |  0  |  0  | 896 |  0  |  1  |  0  |  0  |  0  |
÷ | 600 |4386 |  2  |  1  |  1  |  1  |9019 |  0  |  4  |4743 |  0  | 130 | 67  | 40  |1452 | 188 |  3  | 470 |  0  |9758 | 949 |  0  |  0  |  9  |  0  | 287 |  0  |  0  |  0  | 859 |  0  |  0  |  0  |  0  |
ø | 413 |3509 | 21  | 29  |  2  |  4  |7170 |  0  |  0  |6665 |  0  | 132 |2175 | 12  | 839 | 410 | 12  |  1  |  9  | 24  | 844 |  6  |  9  | 81  |  0  | 13  |  0  |  0  |  0  |2811 |  0  |  0  |  0  |  0  |
ù | 39  |1716 |  0  | 65  |  0  |  0  |5060 |  0  |  0  |4040 |  0  |  0  |  0  |  0  | 191 |  3  |  0  | 23  |  2  |  1  | 612 |  0  |  0  |  0  |  1  |  0  |  0  |  0  |  0  | 109 |  0  |  0  |  0  |  0  |
ú |  0  |  0  |  0  |  0  |  0  |  0  | 137 |  0  |  0  |  4  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  | 317 |  0  |
û |21901| 34  | 203 |2652 | 79  | 364 |4035 | 83  | 79  | 364 |4588 | 664 |5063 |2986 |6900 | 70  | 261 | 623 |2013 |1311 | 15  |  1  |4302 |  7  | 534 |2487 | 142 |  0  |  0  |  0  |  4  | 13  | 13  |  0  |
ü |34643| 70  | 77  | 273 | 75  | 419 | 817 |  8  | 207 | 757 |  0  | 957 |  8  |1436 |2365 | 121 | 175 | 21  |2756 | 804 | 25  | 12  |  5  | 339 | 32  | 636 | 67  |  0  |  0  |  0  |  4  |1224 |1703 |  0  |
ý |  1  |  0  |  0  |  2  |  5  |  2  |  0  |  0  |  0  |  0  |  2  |  0  | 23  |  4  |  4  |  0  |  2  |  9  |  1  |3175 |  0  |  0  |  3  |  4  |  0  |  3  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |
þ |14044| 62  |1031 | 110 | 119 |1383 | 42  | 83  | 110 | 607 |  4  | 70  | 17  | 37  | 357 | 95  | 116 | 19  | 329 |2227 | 28  |  2  |  3  |  6  | 277 |  2  |2115 |  0  |  0  |  0  |  9  | 111 | 24  |  0  |
ÿ |37969| 118 | 120 |1147 | 233 | 485 | 806 | 262 |1283 |1005 | 354 |1295 |2406 |2053 |2987 | 186 | 241 | 251 | 914 |6939 | 44  | 11  | 663 | 381 | 868 | 37  |2639 |  0  |  0  |  0  | 10  | 511 | 250 |  0  |
¸ | 82  |  0  |  0  |  0  |  1  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  2  |  1  |  0  |  1  |  0  |  1  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |
