,Довжина,Індекс
0,r2,0.03626959962295844
1,r3,0.0348248981683277
2,r4,0.036368791278318456
3,r5,0.03491747392111658
4,r6,0.03625020884195967
5,r7,0.04461412817053352
6,r8,0.03640695435902955
7,r9,0.03476711632965609
8,r10,0.036214840126327266
9,r11,0.03486410712155797
10,r12,0.03626474207943072
11,r13,0.03487313138948361
12,r14,0.05529389307788896
13,r15,0.03487709847290891
14,r16,0.0363449652577834
15,r17,0.0348483476049249
16,r18,0.03624409435392832
17,r19,0.034853612044590476
18,r20,0.03606883946205751
19,r21,0.04442798059170979
20,r22,0.03628262862784029
21,r23,0.03460135523421454
22,r24,0.036207109710108196
23,r25,0.03497124690261349
24,r26,0.03633820388211388
25,r27,0.034641923637098594
26,r28,0.05535972555676989
27,r29,0.03474689746760086
28,r30,0.03620000672768791
